Suite name,Test name,Test number,Lsl,Lsl,Lsl,Lsl_typ,Usl_typ,Usl,Usl,Usl,Units,Bin_s_num,Bin_s_name,Bin_h_num,Bin_h_name,Bin_type,Bin_reprobe,Bin_overon,Test_remarks
Test mode,,,TEMP_COLD_DEG,TEMP_ROOM_DEG,TEMP_HOT_DEG,,,TEMP_COLD_DEG,TEMP_ROOM_DEG,TEMP_HOT_DEG,,,,,,,,,
PHY_DDR_AC_AtSpeedSRVminDDR3L_st,X_2A_PHY_DDR_AC,954,1,1,1,GE,LE,1,1,1,Bool,11,FUNC_2_DDR_AC_F,11,F_PARA,bad,,,
PHY_DDR_AC_BU_AtSpeedSRVminDDR3L_st,X_2A_PHY_DDR_AC_BU,955,1,1,1,GE,LE,1,1,1,Bool,11,FUNC_2_DDR_AC_BU_F,11,F_PARA,bad,,,
PHY_DDR_DAT_AtSpeedSRVminDDR3L_st,X_2A_PHY_DDR_DAT,956,1,1,1,GE,LE,1,1,1,Bool,11,FUNC_2_DDR_DAT_F,11,F_PARA,bad,,,
