FlakyPatternLabel,FlakyPatternCorner,FlakyInsertion,Suite name,Test name
winpjr4005a0_cmda1000_r,SRVminOD,*,,
winpjr4005a0_cmdg1000_r,SRVminOD,*,,
winpjs0001a0_cmdg1000_r,SRVminOD,*,,
winpjs0200a0_cmdg1000_r,SRVminOD,*,,
winpjs0201a0_cmdg1000_r,SRVminOD,*,,
winpjs0203a0_cmdg1000_r,SRVminOD,*,,
winpjs0204a0_cmdg1000_r,SRVminOD,*,,
winpjs0210a0_cmdg1000_r,SRVminOD,*,,
winpjs0211a0_cmdg1000_r,SRVminOD,*,,
winpjs0212a0_cmdg1000_r,SRVminOD,*,,
winpjs0213a0_cmdg1000_r,SRVminOD,*,,
winpjs0214a0_cmdg1000_r,SRVminOD,*,,
winpjs0300a0_cmda1000_r,SRVminOD,*,,
winpjs0301a0_cmda1000_r,SRVminOD,*,,
winpjs0302a0_cmda1000_r,SRVminOD,*,,
winpjs0303a0_cmda1000_r,SRVminOD,*,,
winpjs0304a0_cmda1000_r,SRVminOD,*,,
winpjs0310a0_cmda1000_r,SRVminOD,*,,
winpjs0311a0_cmda1000_r,SRVminOD,*,,
winpjs0312a0_cmda1000_r,SRVminOD,*,,
winpjs0313a0_cmda1000_r,SRVminOD,*,,
winpjs0314a0_cmda1000_r,SRVminOD,*,,
winpjs4002a0_cmda1000_r,SRVminOD,*,,
winpjs4003a0_cmda1000_r,SRVminOD,*,,
winpjs4004a0_cmda1000_r,SRVminOD,*,,
winpjs4005a0_cmda1000_r,SRVminOD,*,,
winpjs4006a0_cmda1000_r,SRVminOD,*,,
winpjs4012a0_cmda1000_r,SRVminOD,*,,
winpjs4015a0_cmdg1000_r,SRVminOD,*,,
winpjs4016a0_cmdg1000_r,SRVminOD,*,,
winpjs4017a0_cmdg1000_r,SRVminOD,*,,
winpjs4018a0_cmdg1000_r,SRVminOD,*,,
winpjs4019a0_cmdg1000_r,SRVminOD,*,,
winpjs4025a0_cmdg1000_r,SRVminOD,*,,
wimppf2002a0_cmdg1000_r,VmaxOK,*,,
wimppf2002b0_cmdg1000_r,VmaxOK,*,,
wimppf2007a0_cmda1000_r,VmaxOK,*,,
wimppf2007a0_cmdg1000_r,VmaxOK,*,,
wimppf2007b0_cmda1000_r,VmaxOK,*,,
wimppf2007b0_cmdg1000_r,VmaxOK,*,,
wimppm1015a0_cmdg1000_r,VmaxOK,*,,
wimppf2002a0_cmdg1000_r,SRVminOD,*,,
wimppf2002b0_cmdg1000_r,SRVminOD,*,,
wimppf2007a0_cmda1000_r,SRVminOD,*,,
wimppf2007a0_cmdg1000_r,SRVminOD,*,,
wimppf2007b0_cmda1000_r,SRVminOD,*,,
wimppf2007b0_cmdg1000_r,SRVminOD,*,,
wimppm1015a0_cmdg1000_r,SRVminOD,*,,
wimspf0017az_cmdg1000_r,VmaxOK,*,,
wimspf0017az_cmdg1000_r,SRVminOD,*,,
weksam1300a0_cmdg1000_r,VmaxOK,*,,
wemsam2000a0_cmdg1000_r,VmaxOK,*,,
wemsam3000a0_cmdg1000_r,VmaxOK,*,,
weksam1300a0_cmdg1000_r,SRVminOD,*,,
wemsam2000a0_cmdg1000_r,SRVminOD,*,,
wemsam3000a0_cmdg1000_r,SRVminOD,*,,
winats0210a0_cmdg1000_r,VmaxOK,*,,
winats0210a0_cmdg1000_r,SRVminOD,*,,
wekpnr0006a0_cmdg1000_r,VmaxOK,*,,
wekpnr0006a0_cmdg1000_r,SRVminOD,*,,
winpwr1000a0_cmdg1200_r,VmaxOK,*,,
winpwr1001a0_cmdg1200_r,VmaxOK,*,,
winpwr1002a0_cmdg1200_r,VmaxOK,*,,
winpwr1003a0_cmdg1200_r,VmaxOK,*,,
winpwr1020a0_cmdg1200_r,VmaxOK,*,,
winpwr1021a0_cmdg1200_r,VmaxOK,*,,
winpwr1022a0_cmdg1200_r,VmaxOK,*,,
winpwr1023a0_cmdg1200_r,VmaxOK,*,,
winpwr1000a0_cmdg1200_r,SRVminOD,*,,
winpwr1001a0_cmdg1200_r,SRVminOD,*,,
winpwr1002a0_cmdg1200_r,SRVminOD,*,,
winpwr1003a0_cmdg1200_r,SRVminOD,*,,
winpwr1020a0_cmdg1200_r,SRVminOD,*,,
winpwr1021a0_cmdg1200_r,SRVminOD,*,,
winpwr1022a0_cmdg1200_r,SRVminOD,*,,
winpwr1023a0_cmdg1200_r,SRVminOD,*,,
