"Timing_corner","TestType","Spec_name","Value","Suite name","Test name"
"LED_USB_ASVMAX_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_USB_ASVMAX_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"LED_USB_ASVMAX_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"pASYNC1_pSCAN1_pPARA7_WFT10X4_GB_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.11","0","0"
"pASYNC1_pSCAN1_pPARA7_WFT10X4_GB_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.01","0","0"
"pASYNC1_pSCAN1_pPARA7_WFT10X4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"pASYNC1_pSCAN1_pPARA7_WFT10X4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_GB_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_GB_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.01","0","0"
"PBIST_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0",""
"PBIST_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.107","0",""
"PBIST_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.07","0",""
"PBIST_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.095","0",""
"PBIST_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"PBIST_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"PBIST_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"PBIST_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"PBIST_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","",""
"PBIST_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","",""
"PBIST_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","",""
"PBIST_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","",""
"VSKEW_TET47_GB_pNONASYNC_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.012","0","0"
"VSKEW_TET47_GB_pNONASYNC_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.015","0","0"
"VSKEW_TET47_GB_pNONASYNC_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"VSKEW_TET47_GB_pNONASYNC_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1","0","0"
"VSKEW_TET100_NOGB_pNONASYNC_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.012","0","0"
