"Timing_corner","TestType","Spec_name","Value","Suite name","Test name"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_AtSpeedVmax","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_AtSpeedVmax","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_AtSpeedVmax","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_AtSpeedVmax","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_VskewPhi","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.012","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_VskewPhi","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.015","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_VskewPhi","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_VskewPhi","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1","0","0"
"a99pASY1_pSCAN1_pPARA7noCLK_pASY5_WFT4X4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pSCAN1_pPARA7noCLK_pASY5_WFT4X4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pASY1_pSCAN2_pPARA6noCLK_pASY5_WFT4X4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pSCAN2_pPARA6noCLK_pASY5_WFT4X4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.01","0","0"
"a99pASY1_pSCAN1_pPARA7noCLK_pASY5_WFT4X4_MPT_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.11","0","0"
"a99pASY1_pSCAN1_pPARA7noCLK_pASY5_WFT4X4_MPT_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.01","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET156_WFT5X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET156_WFT5X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET156_WFT5X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET156_WFT5X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET160_WFT5X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET160_WFT5X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET160_WFT5X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET160_WFT5X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
