"memInst","ctlrID","repairType","wordCount","wordSize","colMux","memBlock","block","efuseCfg","memIDBits","memIDSeq","memStartAddr","memEndAddr","numSlices","rgs[1]","rds[1]","wordStart[1]","wordStop[1]","rgs[2]","rds[2]","wordStart[2]","wordStop[2]","rgs[3]","rds[3]","wordStart[3]","wordStop[3]","rgs[4]","rds[4]","wordStart[4]","wordStop[4]","rgs[5]","rds[5]","wordStart[5]","wordStop[5]","rgs[6]","rds[6]","wordStart[6]","wordStop[6]","rgs[7]","rds[7]","wordStart[7]","wordStop[7]","rgs[8]","rds[8]","wordStart[8]","wordStop[8]","Suite name","Test name"
"2036","4","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x05","1","32"
"2037","4","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x02","1","42"
"2038","4","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x06","1","32"
"2039","4","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x00","1","32"
"2040","4","-1","64","20","1","1","0","0","0","0","0","63","1","0x09","0x05","1","20"
"2041","4","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x04","1","32"
"2042","4","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x00","1","32"
"2043","4","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x02","1","32"
"2044","4","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x00","1","32"
"2045","4","-1","1024","25","4","1","0","0","0","0","0","1023","1","0x10","0x00","1","25"
"2046","4","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x02","1","32"
"2047","4","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x03","1","32"
"2048","4","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x07","1","34"
"2049","4","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x03","1","42"
"2050","4","-1","512","28","4","1","0","0","0","0","0","511","1","0x21","0x00","1","28"
"1308","5","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x00","1","32","0x08","0x01","1","22"
"1309","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x06","1","32"
"1310","5","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x01","1","34"
"1311","5","-1","4096","32","16","1","0","0","0","0","0","4095","1","0x2F","0x00","1","32"
"1312","5","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x02","1","32"
"1313","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x07","1","32"
"1314","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x01","1","32"
"1317","5","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x03","1","34"
"1318","5","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x00","1","42"
"1319","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x04","1","32"
"1320","5","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x01","1","42"
"1321","5","-1","256","26","4","1","0","0","0","0","0","255","1","0x20","0x06","1","26"
"1322","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x04","1","32"
"1323","5","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x05","1","34"
"1324","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x03","1","32"
"1325","5","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x02","1","32","0x08","0x03","1","22"
"1326","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x05","1","32"
"1329","5","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x01","1","32"
"1330","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x04","1","32"
"1331","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x05","1","32"
"1332","5","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x02","1","42"
"1333","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x06","1","32"
"1334","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x00","1","32"
"1335","5","-1","64","20","1","1","0","0","0","0","0","63","1","0x09","0x05","1","20"
"1336","5","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x04","1","32"
"1337","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x00","1","32"
"1338","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x02","1","32"
"1339","5","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x00","1","32"
