SoftBinNumber,SoftBinName,HardBinName,HardBinNumber
1295,FUNC_OG_TRANS_P03_1_F,F_FUNC_SPEED,14
1296,FUNC_OG_TRANS_P04_F,F_FUNC_SPEED,14
1297,FUNC_OG_TRANS_P04_1_F,F_FUNC_SPEED,14
1298,FUNC_OG_TRANS_P05_F,F_FUNC_SPEED,14
1299,FUNC_OG_TRANS_P05_1_F,F_FUNC_SPEED,14
1300,FUNC_OG_TRANS_P06_F,F_FUNC_SPEED,14
1301,FUNC_OG_TRANS_P07_F,F_FUNC_SPEED,14
1302,FUNC_OG_TRANS_P07_1_F,F_FUNC_SPEED,14
1303,FUNC_OG_TRANS_P08_F,F_FUNC_SPEED,14
1304,FUNC_OG_TRANS_P08_1_F,F_FUNC_SPEED,14
1305,FUNC_OG_TRANS_P09_F,F_FUNC_SPEED,14
1306,FUNC_OG_TRANS_P09_1_F,F_FUNC_SPEED,14
1307,FUNC_OG_TRANS_P10_F,F_FUNC_SPEED,14
1308,FUNC_OG_TRANS_Q04_F,F_FUNC_SPEED,14
1309,FUNC_OG_TRANS_Q04_1_F,F_FUNC_SPEED,14
1310,FUNC_OG_TRANS_Q06_F,F_FUNC_SPEED,14
1311,FUNC_OG_TRANS_Q07_F,F_FUNC_SPEED,14
1312,FUNC_OG_TRANS_Q07_1_F,F_FUNC_SPEED,14
1313,FUNC_OG_TRANS_Q09_F,F_FUNC_SPEED,14
1314,FUNC_OK_LED_BCP_F,F_FUNC_SPEED,14
1315,FUNC_OK_LED_BOOTCFG_F,F_FUNC_SPEED,14
1316,FUNC_OK_LED_DDR_F,F_FUNC_SPEED,14
1317,FUNC_OK_LED_DFT_F,F_FUNC_SPEED,14
1318,FUNC_OK_LED_EDMA_F,F_FUNC_SPEED,14
1319,FUNC_OK_LED_EMIF_F,F_FUNC_SPEED,14
1320,FUNC_OK_LED_ETB_F,F_FUNC_SPEED,14
1321,FUNC_OK_LED_FFTC_F,F_FUNC_SPEED,14
1322,FUNC_OK_LED_GEM_F,F_FUNC_SPEED,14
1323,FUNC_OK_LED_GPIO_F,F_FUNC_SPEED,14
1324,FUNC_OK_LED_I2C_F,F_FUNC_SPEED,14
1325,FUNC_OK_LED_INTC_F,F_FUNC_SPEED,14
1326,FUNC_OK_LED_IQN_F,F_FUNC_SPEED,14
1327,FUNC_OK_LED_MMAP_F,F_FUNC_SPEED,14
1328,FUNC_OK_LED_MPU_F,F_FUNC_SPEED,14
1329,FUNC_OK_LED_MSMC_F,F_FUNC_SPEED,14
1330,FUNC_OK_LED_NSS_F,F_FUNC_SPEED,14
1331,FUNC_OK_LED_OSR_F,F_FUNC_SPEED,14
1332,FUNC_OK_LED_PCIE_F,F_FUNC_SPEED,14
1333,FUNC_OK_LED_PLLCTRL_F,F_FUNC_SPEED,14
1334,FUNC_OK_LED_PSC_F,F_FUNC_SPEED,14
1335,FUNC_OK_LED_QMGR_F,F_FUNC_SPEED,14
1336,FUNC_OK_LED_RAC_F,F_FUNC_SPEED,14
1337,FUNC_OK_LED_SEC_CTL_F,F_FUNC_SPEED,14
1338,FUNC_OK_LED_SEMAPHORE_F,F_FUNC_SPEED,14
1339,FUNC_OK_LED_SMARTREFLEX_F,F_FUNC_SPEED,14
1340,FUNC_OK_LED_SPI_F,F_FUNC_SPEED,14
1341,FUNC_OK_LED_TAC_F,F_FUNC_SPEED,14
1342,FUNC_OK_LED_TCP_F,F_FUNC_SPEED,14
1343,FUNC_OK_LED_TETRIS_F,F_FUNC_SPEED,14
1344,FUNC_OK_LED_TIMER_F,F_FUNC_SPEED,14
1345,FUNC_OK_LED_TRACER_F,F_FUNC_SPEED,14
1346,FUNC_OK_LED_UART_F,F_FUNC_SPEED,14
1347,FUNC_OK_LED_USB_F,F_FUNC_SPEED,14
1348,FUNC_OK_LED_USIM_F,F_FUNC_SPEED,14
1349,FUNC_OK_LED_VCP_F,F_FUNC_SPEED,14
1350,FUNC_OK_TRANS_COV_F,F_FUNC_SPEED,14
1351,FUNC_OK_TRANS_COV_1_F,F_FUNC_SPEED,14
1352,FUNC_OK_TRANS_CPU1_F,F_FUNC_SPEED,14
1353,FUNC_OK_TRANS_FULCHIP_F,F_FUNC_SPEED,14
1354,FUNC_OK_TRANS_P01_F,F_FUNC_SPEED,14
1355,FUNC_OK_TRANS_P01_1_F,F_FUNC_SPEED,14
1356,FUNC_OK_TRANS_P02_F,F_FUNC_SPEED,14
1357,FUNC_OK_TRANS_P02_1_F,F_FUNC_SPEED,14
1358,FUNC_OK_TRANS_P03_F,F_FUNC_SPEED,14
1359,FUNC_OK_TRANS_P03_1_F,F_FUNC_SPEED,14
1360,FUNC_OK_TRANS_P04_F,F_FUNC_SPEED,14
1361,FUNC_OK_TRANS_P04_1_F,F_FUNC_SPEED,14
1362,FUNC_OK_TRANS_P05_F,F_FUNC_SPEED,14
1363,FUNC_OK_TRANS_P05_1_F,F_FUNC_SPEED,14
1364,FUNC_OK_TRANS_P06_F,F_FUNC_SPEED,14
1365,FUNC_OK_TRANS_P07_F,F_FUNC_SPEED,14
1366,FUNC_OK_TRANS_P07_1_F,F_FUNC_SPEED,14
1367,FUNC_OK_TRANS_P08_F,F_FUNC_SPEED,14
1368,FUNC_OK_TRANS_P08_1_F,F_FUNC_SPEED,14
1369,FUNC_OK_TRANS_P09_F,F_FUNC_SPEED,14
1370,FUNC_OK_TRANS_P09_1_F,F_FUNC_SPEED,14
1371,FUNC_OK_TRANS_P10_F,F_FUNC_SPEED,14
1372,FUNC_OK_TRANS_Q04_F,F_FUNC_SPEED,14
1373,FUNC_OK_TRANS_Q04_1_F,F_FUNC_SPEED,14
1374,FUNC_OK_TRANS_Q06_F,F_FUNC_SPEED,14
1375,FUNC_OK_TRANS_Q07_F,F_FUNC_SPEED,14
1376,FUNC_OK_TRANS_Q07_1_F,F_FUNC_SPEED,14
1377,FUNC_OK_TRANS_Q09_F,F_FUNC_SPEED,14
1400,FUNC_OG_PB_PLL_CHIP_F,F_FUNC_SRAM,15
1401,FUNC_OG_PB_PLL_DFE_F,F_FUNC_SRAM,15
1402,FUNC_OG_PB_PLL_GEM_F,F_FUNC_SRAM,15
1403,FUNC_OG_PB_PLL_MSMC_F,F_FUNC_SRAM,15
1404,FUNC_OG_PB_PLL_NSS_F,F_FUNC_SRAM,15
1405,FUNC_OG_PB_PLL_ROM_F,F_FUNC_SRAM,15
1406,FUNC_OG_PB_PLL_TETRIS_F,F_FUNC_SRAM,15
1407,FUNC_OK_PB_PLL_CHIP_F,F_FUNC_SRAM,15
1408,FUNC_OK_PB_PLL_DFE_F,F_FUNC_SRAM,15
1409,FUNC_OK_PB_PLL_GEM_F,F_FUNC_SRAM,15
1410,FUNC_OK_PB_PLL_MSMC_F,F_FUNC_SRAM,15
1411,FUNC_OK_PB_PLL_NSS_F,F_FUNC_SRAM,15
1412,FUNC_OK_PB_PLL_ROM_F,F_FUNC_SRAM,15
1413,FUNC_OK_PB_PLL_TETRIS_F,F_FUNC_SRAM,15
1414,FUNC_OW_PB_PLL_VSKEW_F,F_FUNC_SRAM,15
1415,FUNC_OW_PB_PLL_VSKEW_1_F,F_FUNC_SRAM,15
1416,FUNC_OW_PB_PLL_VSKEW_2_F,F_FUNC_SRAM,15
1417,FUNC_OW_PB_PLL_VSKEW_3_F,F_FUNC_SRAM,15
1450,FUNC_OG_PHY_DRFE0_F,F_PARA,11
1451,FUNC_OG_PHY_DRFE1_F,F_PARA,11
1452,FUNC_OG_PHY_PCIE_F,F_PARA,11
1453,FUNC_OG_PHY_SGMII_F,F_PARA,11
1454,FUNC_OG_PHY_USB_F,F_PARA,11
1455,FUNC_2_DDR_AC_F,F_PARA,11
1456,FUNC_2_DDR_AC_BU_F,F_PARA,11
1457,FUNC_2_DDR_DAT_F,F_PARA,11
1458,FUNC_OK_PHY_DRFE0_F,F_PARA,11
1459,FUNC_OK_PHY_DRFE1_F,F_PARA,11
1460,FUNC_OK_PHY_PCIE_F,F_PARA,11
1461,FUNC_OK_PHY_SGMII_F,F_PARA,11
1462,FUNC_OK_PHY_USB_F,F_PARA,11
1463,FUNC_OK_PHY_DDR_AC_F,F_PARA,11
1464,FUNC_OK_PHY_DDR_AC_BU_F,F_PARA,11
1465,FUNC_OK_PHY_DDR_DAT_F,F_PARA,11
1490,FUNC_VMINSEARCH_F,F_FUNC,14
1491,FUNC_FMAXSEARCH_F,F_FUNC,14
