node_id,SuiteName,bypassed,stop_sbins,category_sbins,multi_sbins
138,SAF_ALL_1_FuncVmin_st,,,1211,X_15
47,PinShortsTestPerPin_st_pIForce_Even,,,1004,7
354,PHY_DDR_AC_BU_AtSpeedVmaxOK_st,,,1464,X_15
163,LED_TETRIS_AtSpeedSRVminOD_st,,,1279,X_15
346,LED_TETRIS_AtSpeedVmaxOK_st,,,1343,X_15
107,IddqVmax_IqC08Ful_______LM10_006_st_end_FUNC,Y,,1150,X_900
315,PB_PLL_ROM_AtSpeedVmaxOK_st,,,1412,X_15
56,PinOpensTestPerPin_st,,,1003,7
88,IddqVmin1_IqC08Ful_______LM10_006_st_CCE,,,1150,
186,TRANS_P07_1_AtSpeedSRVminOD_st,,,1302,X_15
279,SAF_ALL_2_FuncVmaxOK_st,,,1226,X_15
310,PB_PLL_CHIP_AtSpeedVmaxOK_st,,,1407,X_15
101,IddqVmax_IqC08Ful_______LM10_005_st_PM1_MEAS,Y,,1150,X_900
17,DPS128Connectivity,,97,,
231,LED_SPI_AtSpeedSRVminOD_st,,,1276,X_15
336,LED_PLLCTRL_AtSpeedVmaxOK_st,,,1333,X_15
239,LED_VCP_AtSpeedSRVminOD_st,,,1285,X_15
382,LED_GEM_XM_VminSearch_st,,,1490,X_15
261,PHY_USB_AtSpeedSRVminOD_st,,,1454,X_15
168,SpeedSortVert_TRANS,,,,
217,LED_I2C_AtSpeedSRVminOD_st,,,1260,X_15
264,PHY_DDR_AC_BU_AtSpeedSRVminDDR3L_st,,,1456,X_11
70,Thermo_Sensors_Read_Temperature,,,1058,X_4069|X_4068|X_4083|X_4082|X_3996|X_4067|X_4061|X_4060|X_4070|X_4071|X_4065|X_4066|X_4063|X_4059|X_4062|X_4064
171,TRANS_P03_AtSpeedSRVminOD_st,,,1294,X_15
301,TRANS_P10_AtSpeedVmaxOK_st,,,1371,X_15
278,SAF_ALL_1_FuncVmaxOK_st,,,1225,X_15
54,PinShortsTest_st_pIForce_Odd,,,1004,7
226,LED_PSC_AtSpeedSRVminOD_st,,,1270,X_15
93,IddqVnom_IqC08Ful_______LM10_005_st_CCE,,,1150,
296,TRANS_P07_1_AtSpeedVmaxOK_st,,,1366,X_15
97,IddqVnom_IqC08Ful_______LM10_006_st_end_FUNC,Y,,1150,X_900
48,PinShortsTest_st_pIForce_Even,,,1004,7
252,TRANS_COV_1_AtSpeedSRVminOD_st,,,1287,X_15
348,LED_TRACER_AtSpeedVmaxOK_st,,,1345,X_15
325,LED_GEM_AtSpeedVmaxOK_st,,,1322,X_15
206,SpeedSortVert_LED,,,,
247,TRANS_Q06_AtSpeedSRVminOD_st,,,1310,X_15
338,LED_QMGR_AtSpeedVmaxOK_st,,,1335,X_15
137,SAF_ALL_FuncVmin_st,,,1210,X_15
306,TRANS_Q07_1_AtSpeedVmaxOK_st,,,1376,X_15
313,PB_PLL_MSMC_AtSpeedVmaxOK_st,,,1410,X_15
53,PinShortsTestPerPin_st_pIForce_Odd,,,1004,7
297,TRANS_P08_AtSpeedVmaxOK_st,,,1367,X_15
373,TFT_SPEED_1_FreqSearch_st,,,1491,X_15
330,LED_MMAP_AtSpeedVmaxOK_st,,,1327,X_15
64,CTCS_START_Thermal,,,,
86,IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,,,1150,X_900
265,PHY_DDR_DAT_AtSpeedSRVminDDR3L_st,,,1457,X_11
169,TRANS_P01_AtSpeedSRVminOD_st,,,1290,X_15
150,SpeedSortVert_TRANS_P08_1,,,,
260,PHY_SGMII_AtSpeedSRVminOD_st,Y,,1453,X_15
118,ODP_NullDutTest,Y,,1011,
232,LED_TAC_AtSpeedSRVminOD_st,,,1277,X_15
383,PB_PLL_RTA_M0_1DO_VminSearch_st,,,1490,X_15
237,LED_USB_AtSpeedSRVminOD_st,,,1283,X_15
339,LED_RAC_AtSpeedVmaxOK_st,,,1336,X_15
191,SpeedSortVert_TRANS_FULLCHIP,,,,
255,LED_NSS_AtSpeedSRVminOD_st,,,1266,X_15
229,LED_SEC_CTL_AtSpeedSRVminOD_st,,,1273,X_15
213,LED_ETB_AtSpeedSRVminOD_st,,,1256,X_15
341,LED_SEMAPHORE_AtSpeedVmaxOK_st,,,1338,X_15
224,LED_PCIE_AtSpeedSRVminOD_st,,,1268,X_15
223,LED_OSR_AtSpeedSRVminOD_st,,,1267,X_15
192,TRANS_FULCHIP_AtSpeedSRVminOD_st,,,1289,X_15
162,SpeedSortVert_LED_TETRIS,,,,
173,TRANS_P05_1_AtSpeedSRVminOD_st,,,1299,X_15
14,UpdateGuardBand,,,,
39,DISCONNECT_SupplyShortsPre,,,,
326,LED_GPIO_AtSpeedVmaxOK_st,,,1323,X_15
243,TRANS_CPU1_AtSpeedSRVminOD_st,,,1288,X_15
215,LED_GEM_AtSpeedSRVminOD_st,,,1258,X_15
102,IddqVmax_IqC08Ful_______LM10_005_st_end_FUNC,Y,,1150,X_900
133,CHAIN_SAF_4_FuncVmin_st,,,1206,X_15
319,LED_DDR_AtSpeedVmaxOK_st,,,1316,X_15
287,TRANS_P02_1_AtSpeedVmaxOK_st,,,1357,X_15
32,CTCS_Init_manual_st,,,1051,X_993
328,LED_INTC_AtSpeedVmaxOK_st,,,1325,X_15
321,LED_EDMA_AtSpeedVmaxOK_st,,,1318,X_15
200,PB_PLL_MSMC_AtSpeedSRVminOD_st,,,1403,X_15
345,LED_TCP_AtSpeedVmaxOK_st,,,1342,X_15
98,IddqVnom_IqC08Ful_______LM10_006_st_CCE,,,1150,
37,SetupBBT_st,Y,,,
323,LED_ETB_AtSpeedVmaxOK_st,,,1320,X_15
334,LED_OSR_AtSpeedVmaxOK_st,,,1331,X_15
299,TRANS_P09_AtSpeedVmaxOK_st,,,1369,X_15
305,TRANS_Q07_AtSpeedVmaxOK_st,,,1375,X_15
131,CHAIN_SAF_2_FuncVmin_st,,,1204,X_15
85,IddqVmin1_IqC08Ful_______LM10_006_st_PM1_FUNC,,,1150,X_900
263,PHY_DDR_AC_AtSpeedSRVminDDR3L_st,,,1455,X_11
35,DISCONNECT_1,,,,
198,PB_PLL_GEM_AtSpeedSRVminOD_st,,,1402,X_15
