"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
PB_PLL_VSKEW_MM1_AtSpeedVskewPhiOD_st,XM_TA1_PB_PLL_VSKEW_MM1,861,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_1_AtSpeedVskewPhiOD_st,XM_TA1_PB_PLL_VSKEW_MM1_1,862,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_2_AtSpeedVskewPhiOD_st,XM_TA1_PB_PLL_VSKEW_MM1_2,863,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_3_AtSpeedVskewPhiOD_st,XM_TA1_PB_PLL_VSKEW_MM1_3,864,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
