"FlakyPatternLabel","FlakyPatternCorner","FlakyInsertion","Suite name","Test name"
"yekpaf0031a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpaf0040a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpaf0040a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpaf0060a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpaf0060a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpaf0070a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpaf0070a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpaf0090a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpaf0090a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpaf0110a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpaf0110a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpaf0240a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpaf0240a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpaf0242a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpaf0242a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpaf0250a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpaf0250a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekcatf3107az_ckdg1000_r","AtSpeedVmax","*","",""
"yekcatf3107az_ckdg1000_r","AtSpeedVmin","*","",""
"yekcatf7021az_ckda1000_r","AtSpeedVmax","*","",""
"yekcatf7021az_ckda1000_r","AtSpeedVmin","*","",""
"zincacf0051az_ckda1000_r","AtSpeedVmax","*","",""
"zincacf0051az_ckda1000_r","AtSpeedVmin","*","",""
"zincacf0053az_ckda1000_r","AtSpeedVmax","*","",""
"zincacf0053az_ckda1000_r","AtSpeedVmin","*","",""
"zincatf7015az_ckda1000_r","AtSpeedVmax","*","",""
"zincatf7015az_ckda1000_r","AtSpeedVmin","*","",""
"yekcacf0025az_ckda1000_r","AtSpeedVmax","*","",""
"yekcacf0025az_ckda1000_r","AtSpeedVmin","*","",""
"zincacf0050az_ckda1000_r","AtSpeedVmax","*","",""
"zincacf0050az_ckda1000_r","AtSpeedVmin","*","",""
"zincacf0052az_ckda1000_r","AtSpeedVmax","*","",""
"zincacf0052az_ckda1000_r","AtSpeedVmin","*","",""
"zincacf0056az_ckda1000_r","AtSpeedVmax","*","",""
"zincacf0056az_ckda1000_r","AtSpeedVmin","*","",""
"zincacf0058az_ckda1000_r","AtSpeedVmax","*","",""
"zincacf0058az_ckda1000_r","AtSpeedVmin","*","",""
"yekcatf7025az_ckda1000_r","AtSpeedVmax","*","",""
"yekcatf7025az_ckda1000_r","AtSpeedVmin","*","",""
"zincatf7034az_ckda1000_r","AtSpeedVmax","*","",""
"zincatf7034az_ckda1000_r","AtSpeedVmin","*","",""
"yemtdf0060az_ckdg0000_r","AtSpeedVmax","*","",""
"yemtdf0060az_ckdg0000_r","AtSpeedVmin","*","",""
"yemtdr0000az_ckdg0000_r","AtSpeedVmax","*","",""
"yemtdr0000az_ckdg0000_r","AtSpeedVmin","*","",""
"yemtds0064az_ckdg0000_r","AtSpeedVmax","*","",""
"yemtds0064az_ckdg0000_r","AtSpeedVmin","*","",""
"yemter0002az_ckdg0000_r","AtSpeedVmax","*","",""
"yemter0002az_ckdg0000_r","AtSpeedVmin","*","",""
"yemtef0168az_ckdg1000_r","AtSpeedVmax","*","",""
"yemtef0168az_ckdg1000_r","AtSpeedVmin","*","",""
"yemsbr0020a0_ckdg1000_r","AtSpeedVmax","*","",""
"yemsbr0020a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfe0001a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfe0001b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdre0000a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdre0000b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdre0001a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdre0001b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdre0002a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdre0002b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdrp0000a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdrp0000b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yeksms0083a0_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083a0_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083c0_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083c0_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083c4_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083c4_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083e0_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083e0_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083e4_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083e4_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083a4_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083a4_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083b0_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083b0_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083b4_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083b4_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083d0_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083d0_ckdg1000_r","AtSpeedVmin","*","",""
"yeksms0083d4_ckdg1000_r","AtSpeedVmax","*","",""
"yeksms0083d4_ckdg1000_r","AtSpeedVmin","*","",""
"yemper0001az_ckdg1000_r","AtSpeedVmax","*","",""
"yemper0001az_ckdg1000_r","AtSpeedVmin","*","",""
"yemaff0021a0_ckdg1000_r","AtSpeedVmax","*","",""
"yemaff0021a0_ckdg1000_r","AtSpeedVmin","*","",""
"yenagdixr0278yz_ckmg0000_r","AtSpeedVmax","*","",""
"yenagdixr0278yz_ckmg0000_r","AtSpeedVmin","*","",""
"yenagrmb2000yz_ckmg0030_r","AtSpeedVmax","*","",""
"yenagrmb2000yz_ckmg0030_r","AtSpeedVmin","*","",""
"yenagrmb2002yz_ckmg0030_r","AtSpeedVmax","*","",""
"yenagrmb2002yz_ckmg0030_r","AtSpeedVmin","*","",""
"yenagrmb2006yz_ckmg0030_r","AtSpeedVmax","*","",""
"yenagrmb2006yz_ckmg0030_r","AtSpeedVmin","*","",""
"yenagse6431yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6431yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6432yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6432yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6433yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6433yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6435yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6435yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6471yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6471yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6473yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6473yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6477yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6477yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6479yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6479yz_ckmg0004_r","AtSpeedVmin","*","",""
"yemcgxm0015yz_ckmg1126_r","AtSpeedVmax","*","",""
"yemcgxm0015yz_ckmg1126_r","AtSpeedVmin","*","",""
"yenageaa9000yz_ckmg0019_r","AtSpeedVmax","*","",""
