node_id,Bypassed,SuiteName,SoftBinNum,SoftBinName,HardBinName,BinNumber,BinSource,BinOveron(local),Testmethod,Kepler_TestNameTypelist_pg2.csv : FT_RPC_HT
38,,SetupBBT -- PostAdaptiveRepair_st : adaptiveRepair_st : FTMemRepEFProg_st : adaptiveRepairPatterns_st : BBTOverTempFlag : BBTMaxTemp : BBTMinTemp : BBTTemp,11,F_ERROR,F_OS,7,multi,Y,ti_tml.BBT.SetupBBT,1
38,,SetupBBT -- BBT_rev,110,BBT_SHUTDOWN_F,F_OS,7,multi,Y,ti_tml.BBT.SetupBBT,1
49,Y,DieIDPreRead_SupplyShort_st,MISSING BIN INFO,---,---,---,---,,ti_tml.DieID.PostReadDieID,MISSING TestNameType ENTRY
51,,SupplyShortsPre_st,9,F_OS_SHRT_VDD,F_OS,8,multi,Y,ti_tml.DC.Supply_shorts,1
52,Y,DieIDPreRead_SupplyShort_st_1,MISSING BIN INFO,---,---,---,---,,ti_tml.DieID.PostReadDieID,MISSING TestNameType ENTRY
54,Y,SupplyShortsPre2_st,9,F_OS_SHRT_VDD,F_OS,8,multi,Y,ti_tml.DC.Supply_shorts,0
55,Y,SupplyShortsPre2_st_old,MISSING BIN INFO,---,---,---,---,,ti_tml.DC.Supply_shorts,MISSING TestNameType ENTRY
58,Y,DieIDPreRead_Shortn_st,MISSING BIN INFO,---,---,---,---,,ti_tml.DieID.PostReadDieID,MISSING TestNameType ENTRY
60,,PinShortsTestPerPin_st_nIForce,10,F_OS_SHRT_PIN,F_OS,8,multi,Y,ti_tml.DC.Continuity_shorts,MISSING TestNameType ENTRY
61,,PinShortsTest_st_nIForce,10,F_OS_SHRT_PIN,F_OS,8,multi,Y,ti_tml.DC.Continuity_shorts,1
62,Y,DieIDPreRead_Shortp_st,MISSING BIN INFO,---,---,---,---,,ti_tml.DieID.PostReadDieID,MISSING TestNameType ENTRY
64,,PinShortsTestPerPin_st_pIForce,10,F_OS_SHRT_PIN,F_OS,8,multi,Y,ti_tml.DC.Continuity_shorts,MISSING TestNameType ENTRY
65,,PinShortsTest_st_pIForce,10,F_OS_SHRT_PIN,F_OS,8,multi,Y,ti_tml.DC.Continuity_shorts,1
68,,DieIDPreRead_st -- devX,23,FUSE_DIEID_WaferXY_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- devY,24,FUSE_DIEID_WaferXY_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- devWaf,25,FUSE_DIEID_WaferNum_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- devLot,26,FUSE_DIEID_LotNum_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- devFab,27,FUSE_DIEID_FabCode_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- devDesRev,28,FUSE_DIEID_DesRev_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- devMemRepair,29,FUSE_DIEID_MemRep_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- DIEID_PostRead : devSuccess,30,FUSE_DIEID_DevSuccess,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- DIEID_FABCODE,31,FUSE_DIEID_FabCode_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
68,,DieIDPreRead_st -- DIEID_DESIGNREV,32,FUSE_DIEID_DesRev_F,F_FUSE,10,multi,Y,ti_tml.DieID.PostReadDieID,1
71,Y,DieIDPreRead_Open_st,MISSING BIN INFO,---,---,---,---,,ti_tml.DieID.PostReadDieID,MISSING TestNameType ENTRY
73,,PinOpensTestPerPin_st_nIForce,8,F_OS_OPEN,F_OS,8,multi,Y,ti_tml.DC.Continuity_opens,MISSING TestNameType ENTRY
74,,PinOpensTest_st_nIForce,8,F_OS_OPEN,F_OS,8,multi,Y,ti_tml.DC.Continuity_opens,1
76,,DCPinOpensTestPerPin_st_pIForce_SigGroup,8,F_OS_OPEN,F_OS,8,multi,Y,ti_tml.DC.Continuity_Opens_DCsig,1
77,,DCPinOpensTest_st_pIForce,8,F_OS_OPEN,F_OS,8,multi,Y,ti_tml.DC.Continuity_Opens_DCsig,1
79,,DCPinOpensTestPerPin_st_nIForce_SigGroup,8,F_OS_OPEN,F_OS,8,multi,Y,ti_tml.DC.Continuity_Opens_DCsig,0
80,,DCPinOpensTest_st_nIForce,8,F_OS_OPEN,F_OS,8,multi,Y,ti_tml.DC.Continuity_Opens_DCsig,0
