SoftBinNumber,SoftBinName,HardBinName,HardBinNumber
1106,FUNC_K_PB_PLL_RTA_G4_1_F,F_FUNC_SRAM,15
1107,FUNC_K_PB_PLL_RTA_G5_1_F,F_FUNC_SRAM,15
1108,FUNC_K_PB_PLL_RTA_G6_1_F,F_FUNC_SRAM,15
1109,FUNC_K_PB_PLL_RTA_G7_1_F,F_FUNC_SRAM,15
1110,FUNC_K_PB_PLL_RTA_M0_1_F,F_FUNC_SRAM,15
1112,FUNC_K_PB_PLL_RTA_T0_F_F,F_FUNC_SRAM,15
1113,FUNC_K_PB_PLL_S1R_AA_1_F,F_FUNC_SRAM,15
1114,FUNC_K_PB_PLL_S1R_G0_1_F,F_FUNC_SRAM,15
1115,FUNC_K_PB_PLL_S1R_G1_1_F,F_FUNC_SRAM,15
1116,FUNC_K_PB_PLL_S1R_G2_1_F,F_FUNC_SRAM,15
1117,FUNC_K_PB_PLL_S1R_G3_1_F,F_FUNC_SRAM,15
1118,FUNC_K_PB_PLL_S1R_G4_1_F,F_FUNC_SRAM,15
1119,FUNC_K_PB_PLL_S1R_G5_1_F,F_FUNC_SRAM,15
1120,FUNC_K_PB_PLL_S1R_G6_1_F,F_FUNC_SRAM,15
1121,FUNC_K_PB_PLL_S1R_G7_1_F,F_FUNC_SRAM,15
1122,FUNC_K_PB_PLL_S1R_T0_1_F,F_FUNC_SRAM,15
1124,FUNC_K_PB_PLL_S2A_C3_2_F,F_FUNC_SRAM,15
1125,FUNC_K_PB_PLL_S4A_AA_1_F,F_FUNC_SRAM,15
1126,FUNC_K_PB_PLL_S4A_G0_1_F,F_FUNC_SRAM,15
1127,FUNC_K_PB_PLL_S4A_AA_2_F,F_FUNC_SRAM,15
1128,FUNC_K_PB_PLL_S4A_G0_2_F,F_FUNC_SRAM,15
1129,FUNC_K_PB_PLL_S4A_G1_1_F,F_FUNC_SRAM,15
1130,FUNC_K_PB_PLL_S4A_G1_2_F,F_FUNC_SRAM,15
1131,FUNC_K_PB_PLL_S4A_G2_1_F,F_FUNC_SRAM,15
1132,FUNC_K_PB_PLL_S4A_G2_2_F,F_FUNC_SRAM,15
1133,FUNC_K_PB_PLL_S4A_G3_1_F,F_FUNC_SRAM,15
1134,FUNC_K_PB_PLL_S4A_G3_2_F,F_FUNC_SRAM,15
1135,FUNC_K_PB_PLL_S4A_G4_1_F,F_FUNC_SRAM,15
1136,FUNC_K_PB_PLL_S4A_G4_2_F,F_FUNC_SRAM,15
1137,FUNC_K_PB_PLL_S4A_G5_1_F,F_FUNC_SRAM,15
1138,FUNC_K_PB_PLL_S4A_G5_2_F,F_FUNC_SRAM,15
1139,FUNC_K_PB_PLL_S4A_G6_1_F,F_FUNC_SRAM,15
1140,FUNC_K_PB_PLL_S4A_G6_2_F,F_FUNC_SRAM,15
1141,FUNC_K_PB_PLL_S4A_G7_1_F,F_FUNC_SRAM,15
1142,FUNC_K_PB_PLL_S4A_G7_2_F,F_FUNC_SRAM,15
1143,FUNC_K_PB_PLL_SDP_AA_1_F,F_FUNC_SRAM,15
1144,FUNC_K_PB_PLL_SDP_G0_1_F,F_FUNC_SRAM,15
1145,FUNC_K_PB_PLL_SDP_G1_1_F,F_FUNC_SRAM,15
1146,FUNC_K_PB_PLL_SDP_G2_1_F,F_FUNC_SRAM,15
1147,FUNC_K_PB_PLL_SDP_G3_1_F,F_FUNC_SRAM,15
1148,FUNC_K_PB_PLL_SDP_G4_1_F,F_FUNC_SRAM,15
1149,FUNC_K_PB_PLL_SDP_G5_1_F,F_FUNC_SRAM,15
1150,FUNC_K_PB_PLL_SDP_G6_1_F,F_FUNC_SRAM,15
1151,FUNC_K_PB_PLL_SDP_G7_1_F,F_FUNC_SRAM,15
1153,FUNC_K_PB_PLL_SSP_C1_3_F,F_FUNC_SRAM,15
1155,FUNC_K_PB_PLL_SSP_M0_1_F,F_FUNC_SRAM,15
1156,FUNC_K_PB_PLL_UHD_AA_3_F,F_FUNC_SRAM,15
1157,FUNC_K_PB_PLL_UHD_C1_3_F,F_FUNC_SRAM,15
1158,FUNC_K_PB_PLL_UHD_C2_3_F,F_FUNC_SRAM,15
1160,FUNC_K_PB_PLL_UHD_C2_4_F,F_FUNC_SRAM,15
1161,FUNC_K_PB_PLL_UHD_C3_3_F,F_FUNC_SRAM,15
1162,FUNC_K_PB_PLL_ROM_F,F_FUNC_SRAM,15
1163,FUNC_K_LED_AIF_F,F_FUNC_SPEED,14
1164,FUNC_K_LED_ALLCORES_F,F_FUNC_SPEED,14
1165,FUNC_K_LED_ARM_F,F_FUNC_SPEED,14
1166,FUNC_K_LED_ATDF_F,F_FUNC_SPEED,14
1167,FUNC_K_LED_BCP_F,F_FUNC_SPEED,14
1168,FUNC_K_LED_BCR_F,F_FUNC_SPEED,14
1169,FUNC_K_LED_BOOT_F,F_FUNC_SPEED,14
1170,FUNC_K_LED_DDR_F,F_FUNC_SPEED,14
1171,FUNC_K_LED_EDMA_F,F_FUNC_SPEED,14
1172,FUNC_K_LED_EMIF_F,F_FUNC_SPEED,14
1173,FUNC_K_LED_FFTC_F,F_FUNC_SPEED,14
1174,FUNC_K_LED_GEM_F,F_FUNC_SPEED,14
1175,FUNC_K_LED_GPIO_F,F_FUNC_SPEED,14
1176,FUNC_K_LED_I2C_F,F_FUNC_SPEED,14
1177,FUNC_K_LED_INTC_F,F_FUNC_SPEED,14
1178,FUNC_K_LED_MPU_F,F_FUNC_SPEED,14
