"GroupName","InstName","CTLR","Chain","FROM","RowStart","ColStart","RowStop","ColStop","RowSize","InstBits","MemIndex","PreRead","ECC","Protect","Repair","BitMask","BitOrder","InstData","Test name","Suite name"
"","ARM_SRC3_SEN0_OPP2","1","0","0","62","21","64","2","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN0_OPP3","1","0","0","64","3","65","9","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN1_OPP0","1","0","0","65","10","66","16","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN1_OPP1","1","0","0","66","17","67","23","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN1_OPP2","1","0","0","67","24","69","5","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN1_OPP3","1","0","0","69","6","70","12","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN2_OPP0","1","0","0","70","13","71","19","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN2_OPP1","1","0","0","71","20","73","1","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN2_OPP2","1","0","0","73","2","74","8","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN2_OPP3","1","0","0","74","9","75","15","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN3_OPP0","1","0","0","75","16","76","22","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN3_OPP1","1","0","0","76","23","78","4","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN3_OPP2","1","0","0","78","5","79","11","25","32","","","","","","","","","",""
"","ARM_SRC3_SEN3_OPP3","1","0","0","79","12","80","18","25","32","","","","","","","","","",""
"","SOC_SRCLASS0","1","0","0","80","19","82","0","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN0_OPP0","1","0","0","82","1","83","7","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN0_OPP1","1","0","0","83","8","84","14","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN0_OPP2","1","0","0","84","15","85","21","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN0_OPP3","1","0","0","85","22","87","3","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN1_OPP0","1","0","0","87","4","88","10","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN1_OPP1","1","0","0","88","11","89","17","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN1_OPP2","1","0","0","89","18","90","24","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN1_OPP3","1","0","0","91","0","92","6","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN2_OPP0","1","0","0","92","7","93","13","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN2_OPP1","1","0","0","93","14","94","20","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN2_OPP2","1","0","0","94","21","96","2","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN2_OPP3","1","0","0","96","3","97","9","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN3_OPP0","1","0","0","97","10","98","16","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN3_OPP1","1","0","0","98","17","99","23","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN3_OPP2","1","0","0","99","24","101","5","25","32","","","","","","","","","",""
"","SOC_SRC3_SEN3_OPP3","1","0","0","101","6","102","12","25","32","","","","","","","","","",""
"","EF_DEVFEATURE","1","0","0","102","13","103","22","25","35","","","","","","","","","",""
"","EF_FORCE_ON_ALLPD","1","0","0","102","13","102","13","25","1","","","","","","","","","",""
"","EF_FORCE_EN_ALLMD","1","0","0","102","14","102","14","25","1","","","","","","","","","",""
"","EF_DISABLE_USB","1","0","0","102","15","102","15","25","1","","","","","","","","","",""
"","EF_RESERVED_1","1","0","0","102","16","102","17","25","2","","","","","","","","","",""
"","EF_DISABLE_GEMCORE0","1","0","0","102","18","102","18","25","1","","","","","","","","","",""
"","EF_DISABLE_GEMCORE1","1","0","0","102","19","102","19","25","1","","","","","","","","","",""
"","EF_DISABLE_GEMCORE2","1","0","0","102","20","102","20","25","1","","","","","","","","","",""
"","EF_DISABLE_GEMCORE3","1","0","0","102","21","102","21","25","1","","","","","","","","","",""
"","EF_RESERVED_2","1","0","0","102","22","103","0","25","4","","","","","","","","","",""
"","EF_DISABLE_DDR3A","1","0","0","103","1","103","1","25","1","","","","","","","","","",""
"","EF_RESERVED_3","1","0","0","103","2","103","2","25","1","","","","","","","","","",""
"","EF_DISABLE_TAC_RAC","1","0","0","103","3","103","3","25","1","","","","","","","","","",""
"","EF_DISABLE_DFE_DDUC","1","0","0","103","4","103","4","25","1","","","","","","","","","",""
"","EF_DISABLE_FFTC_A","1","0","0","103","5","103","5","25","1","","","","","","","","","",""
"","EF_RESERVED_4","1","0","0","103","6","103","8","25","3","","","","","","","","","",""
"","EF_DISABLE_TCP3","1","0","0","103","9","103","10","25","2","","","","","","","","","",""
"","EF_DISABLE_VCP","1","0","0","103","11","103","11","25","1","","","","","","","","","",""
